observer,condition,trial,time_taken,acc,time_taken_s
48,conjunction,20,28.954222,0.6410256410256411,-0.22278047475425794
49,feature,1,23.643717,0.6923076923076923,-1.230449408254903
49,feature,2,25.783539,0.7948717948717948,-0.7995744960845731
49,feature,3,22.913068,0.6153846153846154,-1.3865591437705873
49,feature,4,23.470934,0.7435897435897436,-1.2669261044830566
49,feature,5,22.480403,0.6923076923076923,-1.4813660647596807
49,feature,6,22.68208,0.6666666666666666,-1.4369489887036098
49,feature,7,23.976392,0.7435897435897436,-1.1609621200442026
49,feature,8,23.760332,0.717948717948718,-1.2059808504777427
49,feature,9,21.134319,0.7692307692307693,-1.788441814410477
49,feature,10,23.197888,0.6666666666666666,-1.3251206730918823
49,feature,11,20.321917,0.6666666666666666,-1.983383733209617
49,feature,12,22.613964,0.7692307692307693,-1.4519064438073397
49,feature,13,22.419509,0.6923076923076923,-1.4948556251577976
49,feature,14,22.510254,0.7435897435897436,-1.4747666544544764
49,feature,15,22.582714,0.6666666666666666,-1.4587836507608247
49,feature,16,22.582218,0.5897435897435898,-1.4588928824962153
49,feature,17,20.901494,0.7692307692307693,-1.843533126887802
49,feature,18,24.031952,0.6410256410256411,-1.1494510890594687
49,feature,19,21.456251,0.6923076923076923,-1.7132574583830316
49,feature,20,21.338371,0.6410256410256411,-1.7406555648252011
49,conjunction,1,40.597542,0.6666666666666666,1.4581288641056018
49,conjunction,2,46.638196,0.4358974358974359,2.147977194304655
49,conjunction,3,36.734457,0.717948717948718,0.9608440573444866
49,conjunction,4,35.036781,0.5897435897435898,0.7255267304382391
49,conjunction,5,33.727,0.5641025641025641,0.536048209701833
49,conjunction,6,33.585663,0.5384615384615384,0.5151635091635445
49,conjunction,7,38.998888,0.6410256410256411,1.2583323930115833
49,conjunction,8,31.456043,0.5128205128205128,0.18937633730048944
49,conjunction,9,36.024626,0.38461538461538464,0.8638042240479202
49,conjunction,10,31.862547,0.7435897435897436,0.25323327274964197
49,conjunction,11,30.379142,0.6666666666666666,0.016134593259006094
49,conjunction,12,34.098759,0.5641025641025641,0.5905661821250567
49,conjunction,13,38.38628,0.6410256410256411,1.1795911032288662
49,conjunction,14,33.031732,0.5641025641025641,0.43245569341381496
49,conjunction,15,35.135638,0.6153846153846154,0.7395390419575399
49,conjunction,16,35.452795,0.6153846153846154,0.7842292318728542
49,conjunction,17,29.717445,0.5897435897435898,-0.09338590882694961
49,conjunction,18,33.229328,0.6410256410256411,0.4621169519712652
49,conjunction,19,32.565758,0.5641025641025641,0.3617994919553906
49,conjunction,20,34.367985,0.5641025641025641,0.629678007004947
50,feature,1,24.776493,0.6923076923076923,-0.9977125655743375
50,feature,2,20.92929,0.8205128205128205,-1.8369238357891962
50,feature,3,21.857021,0.5897435897435898,-1.6212220118080904
50,feature,4,25.801641,0.6666666666666666,-0.7960841367050118
50,feature,5,26.090198,0.6923076923076923,-0.740773896279116
50,feature,6,21.064286,0.7435897435897436,-1.804949019711313
50,feature,7,20.732079,0.7435897435897436,-1.8840074030984044
50,feature,8,26.036217,0.5641025641025641,-0.7510742405673512
50,feature,9,23.944835,0.6410256410256411,-1.1675120455524726
50,feature,10,24.899555,0.7692307692307693,-0.9730722459534104
50,feature,11,24.661303,0.7435897435897436,-1.0208878450835401
50,feature,12,23.044,0.6410256410256411,-1.3582215362468983
50,feature,13,27.489208,0.6666666666666666,-0.48100319356687943
50,feature,14,23.989335,0.7435897435897436,-1.158278182236965
50,feature,15,23.874359,0.7435897435897436,-1.1821711630963683
50,feature,16,23.027023,0.6153846153846154,-1.3618867696019152
50,feature,17,25.66803,0.6923076923076923,-0.8219043791249984
50,feature,18,20.27437,0.9230769230769231,-1.9950331859056127
50,feature,19,21.380793,0.7692307692307693,-1.7307782918834622
50,feature,20,28.427458,0.7435897435897436,-0.31409156860730114
50,conjunction,1,45.139883,0.48717948717948717,1.98558292891688
50,conjunction,2,43.039492,0.6153846153846154,1.748618146899834
50,conjunction,3,40.041578,0.6666666666666666,1.3895522102662896
50,conjunction,4,40.884732,0.6923076923076923,1.4931860045828547
50,conjunction,5,36.601022,0.4358974358974359,0.9427463057082456
50,conjunction,6,31.318321,0.7692307692307693,0.16755455524240195
50,conjunction,7,32.22495,0.48717948717948717,0.30947926994551694
50,conjunction,8,35.440216,0.5897435897435898,0.7824643679840085
50,conjunction,9,33.514595,0.5384615384615384,0.5046288962192885
50,conjunction,10,40.719436,0.5128205128205128,1.47303859968008
50,conjunction,11,37.41593,0.5641025641025641,1.0522587444737654
50,conjunction,12,43.553307,0.5641025641025641,1.8076380667613798
50,conjunction,13,36.178793,0.46153846153846156,0.8850416968690278
50,conjunction,15,38.174998,0.6666666666666666,1.1521423296306577
50,conjunction,16,37.921867,0.6923076923076923,1.1190559926230745
50,conjunction,18,29.122486,0.717948717948718,-0.1939627989911332
50,conjunction,19,32.994225,0.38461538461538464,0.426805462614948
50,conjunction,20,28.117884,0.6923076923076923,-0.36854691191855105
51,feature,1,31.053821,0.7692307692307693,0.1253745976824604
51,feature,2,28.277933,0.717948717948718,-0.34031919483839806
